State,Year,Open_Mangrove,Moderately_Dense,Very_Dense,Total_Area
Goa,2008,2.75,14,0,16.75
Gujarat,2008,828.75,189.75,0,1018.5
Karnataka,2008,0,3,0,3
Kerala,2008,2.75,3,0,5.75
Maharashtra,2008,112.75,66.25,0,179
Odisha,2008,43.25,111.75,61.5,216.5
Puducherry,2008,1,0,0,1
Tamil Nadu,2008,21.5,16.5,0,38
West Bengal,2008,247.75,884.5,1001.5,2133.75
Andaman & Nicobar,2009,67,262,285,614
Andhra Pradesh,2009,222,126,0,348
Daman & Diu,2009,1,0,0,1
Goa,2009,3,14,0,17
Gujarat,2009,858,188,0,1046
Karnataka,2009,0,3,0,3
Kerala,2009,2,3,0,5
Maharashtra,2009,117,69,0,186
Odisha,2009,42,97,82,221
Puducherry,2009,1,0,0,1
Tamil Nadu,2009,23,16,0,39
West Bengal,2009,220,881,1038,2139
Andaman & Nicobar,2010,70.5,261.5,284,616
Andhra Pradesh,2010,224,126,0,350
Daman & Diu,2010,1.22,0.06,0,1.28
Goa,2010,3.5,17,0,20.5
Gujarat,2010,867,185,0,1052
Karnataka,2010,0,3,0,3
Kerala,2010,2.5,3,0,5.5
Maharashtra,2010,117,69,0,186
Odisha,2010,42.5,97,82,221.5
Puducherry,2010,0.5,0,0,0.5
Tamil Nadu,2010,23,16,0,39
West Bengal,2010,228,881,1038,2147
Andaman & Nicobar,2011,73,261,283,617
Andhra Pradesh,2011,226,126,0,352
Daman & Diu,2011,1.44,0.12,0,1.56
Goa,2011,2,20,0,22
Gujarat,2011,876,182,0,1058
Karnataka,2011,0,3,0,3
Kerala,2011,3,3,0,6
Maharashtra,2011,117,69,0,186
Odisha,2011,43,97,82,222
Puducherry,2011,0.5,0,0,0.5
Tamil Nadu,2011,23,16,0,39
West Bengal,2011,236,881,1038,2155
Andaman & Nicobar,2012,71.5,259.5,279.5,610.5
Andhra Pradesh,2012,226.25,126,0,352.25
Daman & Diu,2012,1.465,0.13,0,1.595
Goa,2012,2,20,0,22
Gujarat,2012,902,178.5,0,1080.5
Karnataka,2012,0,3,0,3
Kerala,2012,3.25,3.25,0,6.5
Maharashtra,2012,117,69,0,186
Odisha,2012,43,92.5,82,217.5
Puducherry,2012,0.75,0,0,0.75
Tamil Nadu,2012,24.75,17.4167,0,42.1667
West Bengal,2012,320.5,790,1015.5,2126
Andaman & Nicobar,2013,70,258,276,604
Andhra Pradesh,2013,226.25,126,0,352.25
Daman & Diu,2013,1.49,0.14,0,1.63
Goa,2013,2,20,0,22
Gujarat,2013,928,175,0,1103
Karnataka,2013,0,3,0,3
Kerala,2013,3.5,3.5,0,7
Maharashtra,2013,117,69,0,186
Odisha,2013,43,88,82,213
Puducherry,2013,0.5,0,0,0.5
Tamil Nadu,2013,26.5,18.834,0,45.334
West Bengal,2013,405,699,993,2097
Andaman & Nicobar,2014,60,213,337.5,610.5
Andhra Pradesh,2014,232.25,127.25,0,359.5
Daman & Diu,2014,2.245,0.07,0,2.315
Goa,2014,4,20,0,24
Gujarat,2014,930.5,174.5,0,1105
Karnataka,2014,0,3,0,3
Kerala,2014,3.75,4.25,0,8
Maharashtra,2014,130,74,0,204
Odisha,2014,48.5,91.5,82,222
Puducherry,2014,2.25,0,0,2.25
Tamil Nadu,2014,30.25,20.75,0.5,51.5
West Bengal,2014,410.5,699.5,991.5,2101.5
Andaman & Nicobar,2015,50,168,399,617
Andhra Pradesh,2015,238,129,0,367
Daman & Diu,2015,3,0,0,3
Goa,2015,6,20,0,26
Gujarat,2015,933,174,0,1107
Karnataka,2015,0,3,0,3
Kerala,2015,4,5,0,9
Maharashtra,2015,143,79,0,222
Odisha,2015,54,95,82,231
Puducherry,2015,3,0,0,3
Tamil Nadu,2015,34,22.67,1,57.67
West Bengal,2015,416,700,990,2106
Andaman & Nicobar,2016,49.5,168,399,616.5
Andhra Pradesh,2016,214.5,171,0,385.5
Daman & Diu,2016,3,0,0,3
Goa,2016,6,20,0,26
Gujarat,2016,950.5,173,0,1123.5
Karnataka,2016,4,2.5,0,6.5
Kerala,2016,4,5,0,9
Maharashtra,2016,179.5,83.5,0,263
Odisha,2016,60.5,94.5,82,237
Puducherry,2016,2.5,0,0,2.5
Tamil Nadu,2016,28.5,23.834,1,53.334
West Bengal,2016,419.5,696,994.5,2110
Andaman & Nicobar,2017,49,169,399,617
Andhra Pradesh,2017,191,213,0,404
Daman & Diu,2017,3,0,0,3
Goa,2017,6,20,0,26
Gujarat,2017,968,172,0,1140
Karnataka,2017,8,2,0,10
Kerala,2017,4,5,0,9
Maharashtra,2017,216,88,0,304
Odisha,2017,67,94,82,243
Puducherry,2017,2,0,0,2
Tamil Nadu,2017,23,25,1,47.6925
West Bengal,2017,423,692,999,2114
Andaman & Nicobar,2018,49.045,168.89,398.705,617
Andhra Pradesh,2018,191.105,213.0175,0,404.1225
Daman & Diu,2018,3.05,0,0,3.05
Goa,2018,6,20,0,26
Gujarat,2018,1008.05,172.565,0,1180.615
Karnataka,2018,8.2025,1.95,0.02,10.1725
Kerala,2018,4.105,4.845,0,8.95
Maharashtra,2018,224.135,88,0,312.135
Odisha,2018,71.43,94.165,81.225,246.82
Puducherry,2018,1.82,0,0,1.82
Tamil Nadu,2018,20.51,26.1625,1.02,47.6925
West Bengal,2018,423.745,692,997.31,2113.055
Andaman & Nicobar,2019,49.09,168.78,398.41,616.28
Andhra Pradesh,2019,199.21,215.035,0,414.245
Daman & Diu,2019,3.1,0,0,3.1
Goa,2019,6,20,0,26
Gujarat,2019,1048.09,173.13,0,1221.22
Karnataka,2019,8.405,1.9,0.04,10.345
Kerala,2019,4.21,4.69,0,8.9
Maharashtra,2019,232.27,88,0,320.27
Odisha,2019,75.86,94.33,80.45,250.64
Puducherry,2019,1.64,0,0,1.64
Tamil Nadu,2019,18.02,27.325,1.04,46.385
West Bengal,2019,424.49,692,995.62,2112.11
Andaman & Nicobar,2020,49.015,167.07,385.025,601.11
Andhra Pradesh,2020,193.45,212.8825,0,406.3325
Daman & Diu,2020,3.095,0.105,0,3.2
Goa,2020,5.735,21.96,0,27.695
Gujarat,2020,1040.555,170.89,0,1211.445
Karnataka,2020,8.8725,2.055,0.075,11.0025
Kerala,2020,4.465,4.7,0,9.165
Maharashtra,2020,224.32,87.105,0,311.425
Odisha,2020,78.545,94.47,81.06,254.075
Puducherry,2020,2.605,0.04,0,2.645
Tamil Nadu,2020,16.88,26.1675,1.1,44.1475
West Bengal,2020,427.55,697.745,989.635,2114.93
Andaman & Nicobar,2021,48.94,165.36,371.64,585.94
Andhra Pradesh,2021,195.69,212.73,0,408.42
Daman & Diu,2021,3.09,0.21,0,3.3
Goa,2021,5.47,23.92,0,29.39
Gujarat,2021,1033.02,167.52,0,1200.54
Karnataka,2021,9.34,2.21,0.11,11.66
Kerala,2021,4.72,4.71,0,9.43
Maharashtra,2021,159.52,86.21,0,245.73
Odisha,2021,81.23,94.61,81.67,257.51
Puducherry,2021,3.57,0.08,0,3.65
Tamil Nadu,2021,15.74,25.01,1.16,41.91
West Bengal,2021,430.61,703.49,983.65,2117.75
Andaman & Nicobar,2022,47.61,164,385.505,597.115
Andhra Pradesh,2022,201.61,213.765,0,415.375
Daman & Diu,2022,3.37,0.21,0,3.58
Goa,2022,6.53,23.835,0,30.365
Gujarat,2022,1009,173.305,0,1182.305
Karnataka,2022,10.14,2.68,0.11,12.93
Kerala,2022,4.72,4.72,0,9.44
Maharashtra,2022,277.67,88.015,0,365.685
Odisha,2022,82.005,94.61,81.67,258.285
Puducherry,2022,3.66,0.08,0,3.74
Tamil Nadu,2022,15.695,25.04,1.175,41.91
West Bengal,2022,432.175,703.64,982.64,2118.455
Andaman & Nicobar,2023,46.28,162.64,399.37,608.29
Andhra Pradesh,2023,207.35,214.8,0,422.15
Daman & Diu,2023,3.65,0.21,0,3.86
Goa,2023,7.59,23.75,0,31.34
Gujarat,2023,984.97,179.09,0,1164.06
Karnataka,2023,10.94,3.15,0.11,14.2
Kerala,2023,4.72,4.73,0,9.45
Maharashtra,2023,225.27,89.82,0,315.09
Odisha,2023,82.78,94.61,81.67,259.06
Puducherry,2023,3.75,0.08,0,3.83
Tamil Nadu,2023,15.65,25.07,1.19,41.91
West Bengal,2023,433.74,703.79,981.63,2119.16
Andaman & Nicobar,2024,45.55,156.27,405.55,607.37
Andhra Pradesh,2024,214.87,227.42,0,442.29
Daman & Diu,2024,3.8,0.17,0,3.97
Goa,2024,8.07,24.44,0,32.51
Gujarat,2024,968.59,184.88,0,1153.47
Karnataka,2024,11.51,3.48,0.11,15.1
Kerala,2024,4.57,4.74,0,9.31
Maharashtra,2024,228.46,91.85,-0.09,320.22
Odisha,2024,83.55,94.61,81.67,259.83
Puducherry,2024,3.84,0.08,0,3.92
Tamil Nadu,2024,16.02,25.09,1.2,42.31
West Bengal,2024,434.64,703.86,983.41,2121.91
Andaman & Nicobar,2025,45.15,147.05,408.3,600.5
Andhra Pradesh,2025,214.87,237.51,0,452.38
Daman & Diu,2025,3.87,0.1,0,3.97
Goa,2025,8.21,25.13,0,33.34
Gujarat,2025,957.43,190.66,0,1148.09
Karnataka,2025,12.05,3.72,0.11,15.88
Kerala,2025,4.34,4.74,0,9.08
Maharashtra,2025,230.74,94.14,-0.08,324.8
Odisha,2025,84.33,94.61,81.67,260.61
Puducherry,2025,3.84,0.09,0,3.93
Tamil Nadu,2025,16.84,25.11,1.2,43.15
West Bengal,2025,435.15,703.9,987.91,2126.96
Andaman & Nicobar,2026,44.93,138.23,409.53,592.69
Andhra Pradesh,2026,214.87,247.6,0,462.47
Daman & Diu,2026,3.97,0.05,0,4.02
Goa,2026,8.4,25.81,0,34.21
Gujarat,2026,949.82,196.45,0,1146.27
Karnataka,2026,12.6,3.89,0.11,16.6
Kerala,2026,4.1,4.74,0,8.84
Maharashtra,2026,232.38,96.44,-0.07,328.75
Odisha,2026,85.1,94.61,81.67,261.38
Puducherry,2026,3.84,0.09,0,3.93
Tamil Nadu,2026,17.49,25.12,1.2,43.81
West Bengal,2026,435.44,703.91,990.77,2130.12
Andaman & Nicobar,2027,44.81,130.77,410.07,585.65
Andhra Pradesh,2027,214.87,257.69,0,472.56
Daman & Diu,2027,4.11,0.02,0,4.13
Goa,2027,8.74,26.5,0,35.24
Gujarat,2027,944.64,202.23,0,1146.87
Karnataka,2027,13.15,4,0.11,17.26
Kerala,2027,3.91,4.74,0,8.65
Maharashtra,2027,233.55,98.73,-0.06,332.22
Odisha,2027,85.88,94.61,81.67,262.16
Puducherry,2027,3.84,0.1,0,3.94
Tamil Nadu,2027,18,25.13,1.2,44.33
West Bengal,2027,435.61,703.92,991.58,2131.11
Andaman & Nicobar,2028,44.75,123.93,410.32,579
Andhra Pradesh,2028,214.87,267.78,0,482.65
Daman & Diu,2028,4.26,0.01,0,4.27
Goa,2028,9.17,27.19,0,36.36
Gujarat,2028,941.1,208.02,0,1149.12
Karnataka,2028,13.69,4.09,0.11,17.89
Kerala,2028,3.78,4.74,0,8.52
Maharashtra,2028,234.39,101.03,-0.06,335.36
Odisha,2028,86.65,94.61,81.67,262.93
Puducherry,2028,3.84,0.1,0,3.94
Tamil Nadu,2028,18.4,25.13,1.2,44.73
West Bengal,2028,435.71,703.92,990.49,2130.12
Andaman & Nicobar,2029,44.71,116.89,410.42,572.02
Andhra Pradesh,2029,214.87,277.87,0,492.74
Daman & Diu,2029,4.4,0.02,0,4.42
Goa,2029,9.57,27.88,0,37.45
Gujarat,2029,938.69,213.8,0,1152.49
Karnataka,2029,14.24,4.15,0.11,18.5
Kerala,2029,3.73,4.75,0,8.48
Maharashtra,2029,234.99,103.33,-0.05,338.27
Odisha,2029,87.43,94.61,81.67,263.71
Puducherry,2029,3.84,0.1,0,3.94
Tamil Nadu,2029,18.72,25.14,1.2,45.06
West Bengal,2029,435.76,703.92,988.02,2127.7
Andaman & Nicobar,2030,44.69,109.49,410.47,564.65
Andhra Pradesh,2030,214.87,287.96,0,502.83
Daman & Diu,2030,4.52,0.04,0,4.56
Goa,2030,9.93,28.56,0,38.49
Gujarat,2030,937.05,219.59,0,1156.64
Karnataka,2030,14.79,4.19,0.11,19.09
Kerala,2030,3.73,4.75,0,8.48
Maharashtra,2030,235.42,105.62,-0.04,341
Odisha,2030,88.2,94.61,81.67,264.48
Puducherry,2030,3.84,0.11,0,3.95
Tamil Nadu,2030,18.97,25.14,1.2,45.31
West Bengal,2030,435.8,703.92,984.94,2124.66
Andaman & Nicobar,2031,44.68,101.97,410.49,557.14
Andhra Pradesh,2031,214.87,298.05,0,512.92
Daman & Diu,2031,4.65,0.06,0,4.71
Goa,2031,10.27,29.25,0,39.52
Gujarat,2031,935.93,225.37,0,1161.3
Karnataka,2031,15.34,4.22,0.11,19.67
Kerala,2031,3.79,4.75,0,8.54
Maharashtra,2031,235.73,107.92,-0.04,343.61
Odisha,2031,88.98,94.61,81.67,265.26
Puducherry,2031,3.84,0.11,0,3.95
Tamil Nadu,2031,19.17,25.14,1.2,45.51
West Bengal,2031,435.81,703.93,982.05,2121.79
Andaman & Nicobar,2032,44.67,94.52,410.5,549.69
Andhra Pradesh,2032,214.87,308.14,0,523.01
Daman & Diu,2032,4.78,0.07,0,4.85
Goa,2032,10.62,29.94,0,40.56
Gujarat,2032,935.17,231.16,0,1166.33
Karnataka,2032,15.88,4.24,0.11,20.23
Kerala,2032,3.86,4.75,0,8.61
Maharashtra,2032,235.95,110.21,-0.03,346.13
Odisha,2032,89.75,94.61,81.67,266.03
Puducherry,2032,3.84,0.12,0,3.96
Tamil Nadu,2032,19.33,25.14,1.2,45.67
West Bengal,2032,435.82,703.93,979.98,2119.73
Andaman & Nicobar,2033,44.67,87.16,410.51,542.34
Andhra Pradesh,2033,214.87,318.23,0,533.1
Daman & Diu,2033,4.92,0.08,0,5
Goa,2033,10.98,30.63,0,41.61
Gujarat,2033,934.65,236.94,0,1171.59
Karnataka,2033,16.43,4.26,0.11,20.8
Kerala,2033,3.93,4.75,0,8.68
Maharashtra,2033,236.11,112.51,-0.03,348.59
Odisha,2033,90.53,94.61,81.67,266.81
Puducherry,2033,3.84,0.12,0,3.96
Tamil Nadu,2033,19.45,25.14,1.2,45.79
West Bengal,2033,435.83,703.93,979.08,2118.84
